group_name,etfs,n_long,n_short,spread_pct,mom0_cagr,mom0_sharpe,mom0_maxdd,mom_cagr,mom_sharpe,mom_maxdd,bh_cagr,bh_sharpe,bh_maxdd,days
plan_b-B-sw02,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.26990251249913,0.6992211801654209,-31.449781414914955,9.177397344907167,0.6358871020999853,-32.29862647630258,5.111587015047037,0.539993262071889,-32.47006900998953,5067
plan_b-A-n2,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",2,1,0.15,8.805648967850232,0.49917574277136934,-48.25743174790102,7.279565878609029,0.43392572901187676,-49.71281821561714,5.111586655079381,0.539993326031014,-32.47006571181254,5067
plan_b-B-sw03,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.255896869928716,0.669323011859351,-33.031383007510506,9.044475220962877,0.6028715872497868,-33.976909002060474,5.111586628499509,0.5399934296676617,-32.47006558290432,5067
plan_b-B-sw05,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.191805561905753,0.5982223562655498,-38.838137799269425,8.738001306212695,0.5295096966126047,-39.97533740472276,5.111586419437875,0.5399931883962039,-32.47008011602611,5067
plan_b-C-ct09,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.17592807603933,0.6930144418428557,-34.75745175487132,9.075272214453655,0.6292126876619591,-35.56531524748725,5.111586895505726,0.5399935037897026,-32.470069735050714,5067
plan_b-C-ct10,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.18278171478848,0.6941281954963748,-31.44979366157208,9.09113915559454,0.6307974754207676,-32.298638571311635,5.111586606826424,0.5399933172904045,-32.470070250809414,5067
plan_b-C-ct08,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,9.961769063101888,0.6784346556456744,-34.029037088493254,8.84149075838938,0.6136429210680991,-34.8459201493554,5.111586201506757,0.5399933422014298,-32.47006502716863,5067
plan_b-D-mom63,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,8.701398131147965,0.5977737285164445,-44.90931339451579,7.074424513436273,0.5040731382368514,-49.5186878646548,5.4082697190716456,0.5600623271300113,-33.10247946355872,5067
plan_b-C-ct15,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,9.2633924346611,0.6514816552023444,-31.13840522971091,8.26377616902585,0.5918289821927118,-31.878687406539928,5.111586819567782,0.5399933513896966,-32.47006904871349,5067
plan_b-C-ct11,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,9.812348062803643,0.6724149124693343,-31.449776303890186,8.735243198491238,0.60977077100822,-32.2986214285667,5.111586529481316,0.5399932043797567,-32.47007237067411,5067
