Date,momentum,buy_hold
2013-06-26,1.1875728966323664,1.2290475380390309
2013-06-27,1.1949872291057149,1.2379503902398552
2013-06-28,1.1928230956637225,1.2387804020724678
2013-07-01,1.1946336089088632,1.2465414014836853
2013-07-02,1.1965247570574824,1.2463477995178074
2013-07-03,1.1958987753776065,1.2484646559228074
2013-07-05,1.2115704567067607,1.2445469112593968
2013-07-08,1.2107844210884036,1.250148380984317
2013-07-09,1.213353253168926,1.2573477128384625
2013-07-10,1.214859968923497,1.2596455580622246
2013-07-11,1.2200686141888641,1.280440685991267
2013-07-12,1.2204410697399295,1.279938588340789
2013-07-15,1.2247850110972682,1.2848691353155945
2013-07-16,1.2203786093560964,1.2852683542289651
2013-07-17,1.2275358825097036,1.2881273163249147
2013-07-18,1.2289690850346622,1.290395992916969
2013-07-19,1.2240082189477077,1.292550742290588
2013-07-22,1.215762391800729,1.297097810869784
2013-07-23,1.211594268609066,1.2983991610383323
2013-07-24,1.2157081109636398,1.2879059323844813
2013-07-25,1.2165324151963013,1.2923728427376673
2013-07-26,1.2154055729256383,1.290714436375289
2013-07-29,1.2117138840806359,1.2854820436847052
2013-07-30,1.2139810857708873,1.2838180743499867
2013-07-31,1.2158439552451494,1.2859911849141865
2013-08-01,1.230098942734488,1.2905700378219882
2013-08-02,1.2343467677420257,1.2927556996554725
2013-08-05,1.23638941340001,1.2899514669917191
2013-08-06,1.2364825239133155,1.2835578229296707
2013-08-07,1.2323635277086211,1.2798149683012376
2013-08-08,1.2289891044080345,1.2869474716940033
2013-08-09,1.227656259991913,1.290037670734878
2013-08-12,1.2218630435589686,1.2931323955103489
2013-08-13,1.2287409350700997,1.2902276206225582
2013-08-14,1.222452904217809,1.2910687634088605
2013-08-15,1.2024328882665536,1.2844633763933984
2013-08-16,1.1987055700766884,1.280337636406476
2013-08-19,1.1949283825402015,1.2720005488665374
2013-08-20,1.1984167771944978,1.277149265267692
2013-08-21,1.1936935536094566,1.2682385263749403
2013-08-22,1.2006234614000177,1.2765520087385724
2013-08-23,1.1994259337242423,1.286474744103665
2013-08-26,1.1957738234692983,1.2856124767184993
2013-08-27,1.1762133751753234,1.2814357572319182
2013-08-28,1.178010572463431,1.2815210565385313
2013-08-29,1.183676369858936,1.2805879547292807
2013-08-30,1.1791622012280976,1.2747667481321379
2013-09-03,1.184170412819661,1.2788926166396815
2013-09-04,1.1876760059191034,1.2808600471312923
2013-09-05,1.1905151577754296,1.277435627796588
2013-09-06,1.1950387777591673,1.2869340315704465
2013-09-09,1.2004223354653465,1.2958824787555279
2013-09-10,1.2018266196225726,1.294781711310537
2013-09-11,1.2029514762235827,1.298428336417698
2013-09-12,1.202847367133382,1.2933045693771452
2013-09-13,1.2044984899067603,1.2954739380208564
2013-09-16,1.2015988987943782,1.2955003185578247
2013-09-17,1.2039822422138802,1.2964355942253303
2013-09-18,1.2162021563482512,1.324182788274643
2013-09-19,1.2128351151339574,1.3193796304346654
2013-09-20,1.208121150699197,1.3089671094097517
2013-09-23,1.2039355766754496,1.3067130842088621
2013-09-24,1.2038565068124776,1.3055067671443212
2013-09-25,1.2002066106763774,1.305595239995735
2013-09-26,1.2049480204099183,1.3083676557547668
2013-09-27,1.2020845574986445,1.3058849580274325
2013-09-30,1.199891231220435,1.3010823449732951
2013-10-01,1.2173263436714197,1.3037815217188906
2013-10-02,1.208869205587662,1.3096746339102854
2013-10-03,1.200553713189324,1.3036552268085508
2013-10-04,1.2076991751878885,1.3062642645710008
2013-10-07,1.1962836905502938,1.3036073432219684
2013-10-08,1.1854710092327576,1.2962579343881588
2013-10-09,1.1886336875833088,1.2922483956660737
2013-10-10,1.2114757069206288,1.30652727044078
2013-10-11,1.2235986682616393,1.3090185784917856
2013-10-14,1.2270834495084457,1.311057349973812
2013-10-15,1.2188612298240147,1.306313141838912
2013-10-16,1.2290555141043193,1.3168317493427293
